name,repository
deno,https://github.com/denoland/deno
art-of-node,https://github.com/maxogden/art-of-node
yoavniran-testing,https://gist.github.com/yoavniran/1e3b0162e1545055429e
commander.js,https://github.com/tj/commander.js
Inquirer.js,https://github.com/SBoudrias/Inquirer.js
babel,https://github.com/babel/babel
npm-cli,https://github.com/npm/cli
node,https://github.com/nodejs/node
hapi,https://github.com/hapijs/hapi
request,https://github.com/request/request
koa-workshop,https://github.com/koajs/workshop
kick-off-koa,https://github.com/koajs/kick-off-koa
koa,https://github.com/koajs/koa
ejs,https://github.com/mde/ejs
aleph.js,https://github.com/alephjs/aleph.js
pug,https://github.com/pugjs/pug
hbs,https://github.com/pillarjs/hbs
handlebars.js,https://github.com/handlebars-lang/handlebars.js
express-generator,https://github.com/expressjs/generator
express,https://github.com/expressjs/express
privacybadger,https://github.com/EFForg/privacybadger
mdn-content,https://github.com/mdn/content
