name,branch,url
credo,master,https://github.com/rrrene/credo
elixir-ls,master,https://github.com/elixir-lsp/elixir-ls
ecto,master,https://github.com/elixir-ecto/ecto
hex,main,https://github.com/hexpm/hex
phoenix,master,https://github.com/phoenixframework/phoenix
erlang-otp,master,https://github.com/erlang/otp
erlang-rebar3,main,https://github.com/erlang/rebar3
elixir,main,https://github.com/elixir-lang/elixir
