name,branch,url
emacs-reformatter,master,https://github.com/purcell/emacs-reformatter
abo-abo-oremacs,github,https://github.com/abo-abo/oremacs
jwiegley-dot-emacs,master,https://github.com/jwiegley/dot-emacs
doom-emacs,master,https://github.com/hlissner/doom-emacs
unpackaged.el,master,https://github.com/alphapapa/unpackaged.el
elfeed,master,https://github.com/skeeto/elfeed
lsp-mode,master,https://github.com/emacs-lsp/lsp-mode
use-package,master,https://github.com/jwiegley/use-package
emacs,master,git://git.sv.gnu.org/emacs
